Program Version:,EnergyPlus, Version 24.2.0-94a887817b, YMD=2025.04.10 17:22
Tabular Output Report in Format: ,Comma

Building:,HotelLarge
Environment:,RUNPERIOD 1 ** New York J F Kennedy IntL Ar NY USA TMY3 WMO#=744860

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,9593.76,845.62,845.62
,Net Site Energy,9418.40,830.16,830.16
,Total Source Energy,19808.29,1745.95,1745.95
,Net Source Energy,19252.93,1697.00,1697.00


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,11345.29
,Net Conditioned Building Area,11345.29
,Unconditioned Building Area,0.00


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,0.00,667.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,967.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,439.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,150.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,1648.46,1788.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,390.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,600.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,78.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,106.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,90.74,2620.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
,Refrigeration,44.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,4516.88,5076.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,PlantLoopHeatingDemand:Plant,742.64,8504.15,11-AUG-02:00,56482.58,09-FEB-07:40
,WaterSystems:PlantLoopHeatingDemand,742.64,8504.15,11-AUG-02:00,56482.58,09-FEB-07:40
,General:WaterSystems:PlantLoopHeatingDemand,742.64,8504.15,11-AUG-02:00,56482.58,09-FEB-07:40
,EnergyTransfer:HVAC,5140.94,50.17,26-APR-07:50,724466.75,03-AUG-18:10
,HeatingCoils:EnergyTransfer,589.76,0.00,27-MAR-20:10,148178.20,10-DEC-16:20
,PlantLoopHeatingDemand:HVAC,589.76,0.00,27-MAR-20:10,148178.20,10-DEC-16:20
,HeatingCoils:PlantLoopHeatingDemand,589.76,0.00,27-MAR-20:10,148178.20,10-DEC-16:20
,CoolingCoils:EnergyTransfer,3292.35,0.00,01-JAN-01:10,565956.48,03-AUG-18:10
,HeatRecoveryForHeating:EnergyTransfer,895.36,0.00,03-JAN-08:00,328505.25,06-FEB-06:10
,HeatRecoveryForCooling:EnergyTransfer,363.46,0.00,01-JAN-00:10,176290.45,08-JUL-12:10
,Water Heater:WaterSystems:PlantLoopHeatingDemand,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,WaterSystems:EnergyTransfer,742.64,8504.15,11-AUG-02:00,56482.58,09-FEB-07:40
,WaterUse:WaterSystems:EnergyTransfer,742.64,8504.15,11-AUG-02:00,56482.58,09-FEB-07:40
,Boilers:EnergyTransfer,582.21,0.00,01-JAN-08:10,161781.31,15-JAN-16:20
,Chillers:EnergyTransfer,3352.11,0.00,01-JAN-01:10,568125.83,03-AUG-18:10
,HeatRejection:EnergyTransfer,4319.70,0.00,01-JAN-01:10,713643.79,03-AUG-18:10
,General:HeatRejection:EnergyTransfer,4319.70,0.00,01-JAN-01:10,713643.79,03-AUG-18:10
Values shown are for all completed run periods - including any simulations run during sizing periods


----------------------------------------------------------------------------------------------------
REPORT:,Sensible Heat Gain Summary
FOR:,Entire Facility
Annual Building Sensible Heat Gain Components

,,HVAC Zone Eq & Other Sensible Air Heating [GJ],HVAC Zone Eq & Other Sensible Air Cooling [GJ],HVAC Terminal Unit Sensible Air Heating [GJ],HVAC Terminal Unit Sensible Air Cooling [GJ],HVAC Input Heated Surface Heating [GJ],HVAC Input Cooled Surface Cooling [GJ],People Sensible Heat Addition [GJ],Lights Sensible Heat Addition [GJ],Equipment Sensible Heat Addition [GJ],Window Heat Addition [GJ],Interzone Air Transfer Heat Addition [GJ],Infiltration Heat Addition [GJ],Opaque Surface Conduction and Other Heat Addition [GJ],Equipment Sensible Heat Removal [GJ],Window Heat Removal [GJ],Interzone Air Transfer Heat Removal [GJ],Infiltration Heat Removal [GJ],Opaque Surface Conduction and Other Heat Removal [GJ]
,BASEMENT,0.000,0.000,0.000,-354.412,0.000,0.000,146.534,87.597,143.105,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,-22.824
,RETAIL_1_FLR_1,0.000,0.000,1.076,-26.433,0.000,0.000,15.235,3.964,10.186,13.959,0.000,0.151,0.000,0.000,-6.836,0.000,-3.980,-7.321
,RETAIL_2_FLR_1,0.000,0.000,0.000,-33.429,0.000,0.000,17.708,4.591,11.795,0.000,0.000,0.084,0.779,0.000,0.000,0.000,-1.527,-0.000
,MECH_FLR_1,0.000,0.000,0.406,-7.387,0.000,0.000,3.536,8.213,12.471,0.000,0.000,0.131,0.000,0.000,0.000,0.000,-3.920,-13.451
,STORAGE_FLR_1,0.000,0.000,0.865,-13.573,0.000,0.000,2.979,1.883,3.598,0.000,0.000,0.136,6.114,0.000,0.000,0.000,-2.002,-0.000
,LAUNDRY_FLR_1,0.000,0.000,0.000,-580.096,0.000,0.000,10.551,3.504,658.131,0.000,0.000,0.179,0.000,0.000,0.000,0.000,-5.846,-86.423
,CAFE_FLR_1,0.000,0.000,0.000,-230.954,0.000,0.000,203.524,6.384,14.341,40.163,0.000,0.585,0.000,0.000,-18.623,0.000,-8.636,-6.785
,LOBBY_FLR_1,0.000,0.000,0.000,-760.679,0.000,0.000,580.922,74.729,148.998,52.197,0.000,1.357,0.000,0.000,-26.173,0.000,-25.870,-45.481
,ROOM_1_FLR_3,18.453,-26.469,0.000,-11.184,0.000,0.000,9.730,4.922,10.478,26.630,0.000,0.746,0.000,0.000,-15.136,0.000,-9.336,-8.833
,ROOM_2_FLR_3,21.851,-18.620,0.000,-11.590,0.000,0.000,9.639,4.922,10.477,18.929,0.000,0.595,0.000,0.000,-15.923,0.000,-9.584,-10.697
,ROOM_3_MULT19_FLR_3,0.608,-173.394,0.002,-13.646,0.000,0.000,0.000,58.777,194.997,155.443,0.000,0.575,0.015,0.000,-101.895,0.000,-59.793,-61.673
,ROOM_4_MULT19_FLR_3,57.306,-172.985,0.000,-156.503,0.000,0.000,182.874,58.793,195.050,51.241,0.000,3.403,0.000,0.000,-90.655,0.000,-59.325,-69.198
,ROOM_5_FLR_3,18.206,-25.991,0.000,-11.189,0.000,0.000,9.726,4.922,10.478,26.339,0.000,0.745,0.000,0.000,-14.952,0.000,-9.356,-8.927
,ROOM_6_FLR_3,21.541,-18.328,0.000,-11.576,0.000,0.000,9.646,4.922,10.477,18.414,0.000,0.592,0.000,0.000,-15.507,0.000,-9.547,-10.634
,CORRIDOR_FLR_3,0.000,0.000,1.023,-142.115,0.000,0.000,120.616,51.719,0.000,24.509,0.000,0.610,0.000,0.000,-19.457,0.000,-10.892,-26.013
,ROOM_1_FLR_6,6.654,-6.987,0.000,-2.794,0.000,0.000,2.436,1.231,2.620,6.613,0.000,0.188,0.000,0.000,-3.736,0.000,-2.351,-3.873
,ROOM_2_FLR_6,7.708,-5.103,0.000,-2.905,0.000,0.000,2.409,1.230,2.619,4.692,0.000,0.146,0.000,0.000,-3.940,0.000,-2.416,-4.441
,ROOM_3_MULT9_FLR_6,17.728,-43.660,0.000,-18.073,0.000,0.000,21.806,6.962,23.098,36.603,0.000,1.005,0.000,0.000,-17.512,0.000,-11.688,-16.269
,BANQUET_FLR_6,0.000,0.000,0.000,-473.162,0.000,0.000,344.175,13.938,175.857,5.994,0.000,0.325,0.000,0.000,-10.558,0.000,-5.844,-50.724
,DINING_FLR_6,0.000,0.000,0.000,-497.754,0.000,0.000,338.538,13.938,175.857,5.803,0.000,0.301,0.000,0.000,-11.010,0.000,-5.975,-19.697
,KITCHEN_FLR_6,0.000,0.000,0.000,-598.389,0.000,0.000,27.944,8.658,540.650,16.570,0.000,0.175,16.318,0.000,-5.931,0.000,-5.996,-0.000
,CORRIDOR_FLR_6,0.000,0.000,1.434,-54.244,0.000,0.000,30.509,13.684,0.000,11.524,0.000,0.172,11.169,0.000,-9.112,0.000,-5.137,-0.000
,Total Facility,170.056,-491.536,4.806,-4012.090,0.000,0.000,2091.038,439.482,2355.282,515.622,0.000,12.199,34.397,0.000,-386.957,0.000,-259.021,-473.264


Peak Cooling Sensible Heat Gain Components

,,Time of Peak {TIMESTAMP},HVAC Zone Eq & Other Sensible Air Heating [W],HVAC Zone Eq & Other Sensible Air Cooling [W],HVAC Terminal Unit Sensible Air Heating [W],HVAC Terminal Unit Sensible Air Cooling [W],HVAC Input Heated Surface Heating [W],HVAC Input Cooled Surface Cooling [W],People Sensible Heat Addition [W],Lights Sensible Heat Addition [W],Equipment Sensible Heat Addition [W],Window Heat Addition [W],Interzone Air Transfer Heat Addition [W],Infiltration Heat Addition [W],Opaque Surface Conduction and Other Heat Addition [W],Equipment Sensible Heat Removal [W],Window Heat Removal [W],Interzone Air Transfer Heat Removal [W],Infiltration Heat Removal [W],Opaque Surface Conduction and Other Heat Removal [W]
,BASEMENT,24-AUG-18:54,0.00,0.00,0.00,-16157.32,0.00,0.00,5537.99,6367.62,9125.55,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-4873.84
,RETAIL_1_FLR_1,30-AUG-11:55,0.00,0.00,0.00,-3065.42,0.00,0.00,150.60,90.05,252.59,2700.06,0.00,26.70,0.00,0.00,-0.00,0.00,0.00,-154.59
,RETAIL_2_FLR_1,24-AUG-18:54,0.00,0.00,0.00,-1808.19,0.00,0.00,634.38,333.70,752.15,0.00,0.00,27.76,60.21,0.00,-0.00,0.00,0.00,0.00
,MECH_FLR_1,04-AUG-20:00,0.00,0.00,0.00,-1563.35,0.00,0.00,147.53,597.04,795.27,0.00,0.00,85.45,0.00,0.00,-0.00,0.00,0.00,-61.92
,STORAGE_FLR_1,22-AUG-16:01,0.00,0.00,0.00,-1070.33,0.00,0.00,78.87,42.77,89.22,0.00,0.00,40.45,819.03,0.00,-0.00,0.00,0.00,0.00
,LAUNDRY_FLR_1,24-AUG-19:42,0.00,0.00,0.00,-40879.93,0.00,0.00,409.00,286.55,44299.38,0.00,0.00,49.63,0.00,0.00,-0.00,0.00,0.00,-4164.64
,CAFE_FLR_1,30-AUG-15:20,0.00,0.00,0.00,-12937.83,0.00,0.00,5184.50,46.91,355.63,3615.40,0.00,149.08,3586.31,0.00,-0.00,0.00,0.00,0.00
,LOBBY_FLR_1,24-AUG-18:54,0.00,0.00,0.00,-37639.48,0.00,0.00,21261.19,5740.90,9501.36,463.68,0.00,448.66,223.70,0.00,-0.00,0.00,0.00,0.00
,ROOM_1_FLR_3,10-APR-18:10,0.00,-10024.88,0.00,-672.76,0.00,0.00,335.50,337.19,484.65,722.91,0.00,0.00,9135.36,0.00,-0.00,0.00,-317.96,0.00
,ROOM_2_FLR_3,27-MAY-21:00,0.00,-9880.16,0.00,-670.62,0.00,0.00,334.41,322.00,358.18,0.00,0.00,0.00,10031.48,0.00,-388.57,0.00,-106.72,0.00
,ROOM_3_MULT19_FLR_3,04-OCT-12:09,0.00,-30337.23,0.00,0.00,0.00,0.00,0.00,1266.71,2352.88,39650.79,0.00,0.00,0.00,0.00,-0.00,0.00,-319.82,-12613.32
,ROOM_4_MULT19_FLR_3,27-MAY-21:00,0.00,-66653.95,0.00,-9298.92,0.00,0.00,6386.38,3846.41,6668.31,0.00,0.00,0.00,61586.97,0.00,-1938.98,0.00,-596.22,0.00
,ROOM_5_FLR_3,28-SEP-18:10,0.00,-9214.67,0.00,-698.26,0.00,0.00,335.50,337.19,484.65,0.00,0.00,0.00,9365.14,0.00,-367.90,0.00,-241.65,0.00
,ROOM_6_FLR_3,03-SEP-08:00,0.00,-9479.95,0.00,-914.54,0.00,0.00,113.40,212.14,653.15,4732.30,0.00,0.00,4740.78,0.00,-0.00,0.00,-57.28,0.00
,CORRIDOR_FLR_3,22-AUG-16:01,0.00,0.00,0.00,-9439.76,0.00,0.00,3111.18,1174.86,0.00,969.63,0.00,191.19,3992.90,0.00,-0.00,0.00,0.00,0.00
,ROOM_1_FLR_6,28-SEP-18:10,0.00,-2626.17,0.00,-174.22,0.00,0.00,83.87,84.30,121.16,0.00,0.00,0.00,2672.94,0.00,-100.20,0.00,-61.69,0.00
,ROOM_2_FLR_6,27-MAY-21:00,0.00,-2650.87,0.00,-175.11,0.00,0.00,81.25,80.50,89.55,0.00,0.00,0.00,2709.76,0.00,-105.25,0.00,-29.82,0.00
,ROOM_3_MULT9_FLR_6,28-SEP-18:10,0.00,-13341.76,0.00,-1127.34,0.00,0.00,754.86,476.93,1068.37,0.00,0.00,0.00,13092.54,0.00,-440.98,0.00,-482.62,0.00
,BANQUET_FLR_6,24-AUG-18:54,0.00,0.00,0.00,-22448.73,0.00,0.00,12927.02,1198.33,6747.90,266.14,0.00,107.46,1201.88,0.00,-0.00,0.00,0.00,0.00
,DINING_FLR_6,24-AUG-18:54,0.00,0.00,0.00,-23028.60,0.00,0.00,12718.20,1198.33,6747.90,248.34,0.00,103.16,2012.66,0.00,-0.00,0.00,0.00,0.00
,KITCHEN_FLR_6,22-AUG-16:01,0.00,0.00,0.00,-30908.55,0.00,0.00,731.99,196.69,26450.81,916.75,0.00,68.49,2543.82,0.00,-0.00,0.00,0.00,0.00
,CORRIDOR_FLR_6,30-AUG-14:39,0.00,0.00,0.00,-5751.71,0.00,0.00,462.68,310.85,0.00,1576.03,0.00,74.28,3327.88,0.00,-0.00,0.00,0.00,0.00
,Total Facility,22-AUG-18:10,0.00,-128854.29,0.00,-206284.31,0.00,0.00,78302.09,31063.53,120174.13,14268.71,0.00,2578.00,88752.15,0.00,0.00,0.00,0.00,0.00


Peak Heating Sensible Heat Gain Components

,,Time of Peak {TIMESTAMP},HVAC Zone Eq & Other Sensible Air Heating [W],HVAC Zone Eq & Other Sensible Air Cooling [W],HVAC Terminal Unit Sensible Air Heating [W],HVAC Terminal Unit Sensible Air Cooling [W],HVAC Input Heated Surface Heating [W],HVAC Input Cooled Surface Cooling [W],People Sensible Heat Addition [W],Lights Sensible Heat Addition [W],Equipment Sensible Heat Addition [W],Window Heat Addition [W],Interzone Air Transfer Heat Addition [W],Infiltration Heat Addition [W],Opaque Surface Conduction and Other Heat Addition [W],Equipment Sensible Heat Removal [W],Window Heat Removal [W],Interzone Air Transfer Heat Removal [W],Infiltration Heat Removal [W],Opaque Surface Conduction and Other Heat Removal [W]
,BASEMENT,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,RETAIL_1_FLR_1,02-JAN-07:10,0.00,0.00,1207.23,0.00,0.00,0.00,358.04,180.10,433.01,0.00,0.00,0.00,0.00,0.00,-936.30,0.00,-443.74,-798.35
,RETAIL_2_FLR_1,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MECH_FLR_1,02-JAN-04:00,0.00,0.00,628.73,0.00,0.00,0.00,197.30,74.63,176.73,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-412.77,-664.61
,STORAGE_FLR_1,06-FEB-10:20,0.00,0.00,543.94,0.00,0.00,0.00,33.72,42.77,89.22,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-221.59,-488.06
,LAUNDRY_FLR_1,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,CAFE_FLR_1,08-JAN-15:20,0.00,0.00,29.70,0.00,0.00,0.00,2352.72,107.50,304.82,0.00,0.00,0.00,0.00,0.00,-1949.18,0.00,-655.21,-190.35
,LOBBY_FLR_1,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOM_1_FLR_3,08-JAN-16:19,9259.85,298.97,0.00,-298.97,0.00,0.00,163.33,125.03,221.25,0.00,0.00,0.00,0.00,0.00,-1487.25,0.00,-613.25,-7668.95
,ROOM_2_FLR_3,02-JAN-16:19,9217.10,295.37,0.00,-295.37,0.00,0.00,293.99,106.07,200.16,0.00,0.00,0.00,0.00,0.00,-1279.68,0.00,-782.69,-7754.96
,ROOM_3_MULT19_FLR_3,02-JAN-04:00,8392.46,0.00,0.00,0.00,0.00,0.00,0.00,497.64,3333.24,0.00,0.00,0.00,2792.29,0.00,-10352.54,0.00,-4663.08,0.00
,ROOM_4_MULT19_FLR_3,06-FEB-16:19,53956.74,3843.70,0.00,-3843.70,0.00,0.00,5576.76,1267.05,3726.41,0.00,0.00,0.00,0.00,0.00,-8839.65,0.00,-4203.61,-51483.70
,ROOM_5_FLR_3,02-JAN-16:19,8983.34,296.35,0.00,-296.35,0.00,0.00,293.99,106.08,200.18,0.00,0.00,0.00,0.00,0.00,-1513.98,0.00,-783.14,-7286.48
,ROOM_6_FLR_3,02-JAN-16:19,8939.48,293.62,0.00,-293.62,0.00,0.00,293.99,106.07,200.16,0.00,0.00,0.00,0.00,0.00,-1604.14,0.00,-781.97,-7153.59
,CORRIDOR_FLR_3,14-JAN-16:21,0.00,0.00,3135.49,0.00,0.00,0.00,2078.60,1174.86,0.00,0.00,0.00,0.00,0.00,0.00,-2241.71,0.00,-1010.89,-3136.36
,ROOM_1_FLR_6,08-JAN-16:19,2689.34,75.22,0.00,-75.22,0.00,0.00,40.83,31.26,55.31,0.00,0.00,0.00,0.00,0.00,-364.02,0.00,-153.98,-2298.74
,ROOM_2_FLR_6,06-FEB-16:19,2673.21,74.20,0.00,-74.20,0.00,0.00,73.50,26.52,50.04,0.00,0.00,0.00,0.00,0.00,-363.23,0.00,-200.00,-2260.04
,ROOM_3_MULT9_FLR_6,08-JAN-16:19,13008.23,481.41,0.00,-481.41,0.00,0.00,367.48,176.84,487.74,0.00,0.00,0.00,0.00,0.00,-1718.28,0.00,-708.45,-11613.55
,BANQUET_FLR_6,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DINING_FLR_6,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,KITCHEN_FLR_6,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,CORRIDOR_FLR_6,02-JAN-07:19,0.00,0.00,2497.96,0.00,0.00,0.00,733.32,621.70,0.00,0.00,0.00,0.00,0.00,0.00,-1203.00,0.00,-550.98,-2099.00
,Total Facility,14-JAN-16:19,37093.67,78680.35,6460.97,-78680.35,0.00,0.00,37003.85,10583.79,74529.96,0.00,0.00,0.00,0.00,0.00,-38411.20,0.00,-19779.15,-107481.87


----------------------------------------------------------------------------------------------------
REPORT:,Standard 62.1 Summary
FOR:,Entire Facility
System Ventilation Requirements for Cooling

,,Sum of Zone Primary Air Flow - Vpz-sum [m3/s],System Population - Ps,Sum of Zone Population - Pz-sum,Occupant Diversity - D,Origin of D,Uncorrected Outdoor Air Intake Airflow - Vou [m3/s],System Primary Airflow - Vps [m3/s],Average Outdoor Air Fraction - Xs,System Ventilation Efficiency - Ev,Calculation Method for Ev,Outdoor Air Intake Flow - Vot [m3/s],Percent Outdoor Air - %OA,Environment Name of Peak System Population - Ps,Date and Time of Last Peak System Population - Ps
,VAV WITH REHEAT,19.7644,0.0000,0.0000,1.0000,Calculated from schedules,0.0000,19.6667,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,FLR_3_DOAS,2.0513,0.0000,0.0000,1.0000,Calculated from schedules,0.0000,2.0513,0.0000,1.0000,Not calculated,0.0000,0.0000,,


System Ventilation Requirements for Heating

,,Sum of Zone Primary Air Flow - Vpz-sum [m3/s],System Population - Ps,Sum of Zone Population - Pz-sum,Occupant Diversity - D,Origin of D,Uncorrected Outdoor Air Intake Airflow - Vou [m3/s],System Primary Airflow - Vps [m3/s],Average Outdoor Air Fraction - Xs,System Ventilation Efficiency - Ev,Calculation Method for Ev,Outdoor Air Intake Flow Vot [m3/s],Percent Outdoor Air - %OA,Environment Name of Peak System Population - Ps,Date and Time of Last Peak System Population - Ps
,VAV WITH REHEAT,12.8895,0.0000,0.0000,1.0000,Calculated from schedules,0.0000,10.5330,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,FLR_3_DOAS,2.0513,0.0000,0.0000,1.0000,Calculated from schedules,0.0000,2.0513,0.0000,1.0000,Not calculated,0.0000,0.0000,,


Zone Ventilation Parameters

,,AirLoop Name,People Outdoor Air Rate - Rp [m3/s-person],Zone Population - Pz,Area Outdoor Air Rate - Ra [m3/s-m2],Zone Floor Area - Az [m2],Breathing Zone Outdoor Airflow - Vbz [m3/s],Cooling Zone Air Distribution Effectiveness - Ez-clg,Cooling Zone Outdoor Airflow - Voz-clg [m3/s],Heating Zone Air Distribution Effectiveness - Ez-htg,Heating Zone Outdoor Airflow - Voz-htg [m3/s]
,BASEMENT,VAV WITH REHEAT,0.000000,106.4990,0.000432,1978.83,0.0000,1.0000,0.0000,1.000,0.0000
,RETAIL_1_FLR_1,VAV WITH REHEAT,0.000000,10.8290,0.001181,67.07,0.0000,1.0000,0.0000,1.000,0.0000
,RETAIL_2_FLR_1,VAV WITH REHEAT,0.003540,12.5400,0.000610,77.67,0.0000,1.0000,0.0000,1.000,0.0000
,MECH_FLR_1,VAV WITH REHEAT,0.000000,2.6520,0.000000,164.24,0.0000,1.0000,0.0000,1.000,0.0000
,STORAGE_FLR_1,VAV WITH REHEAT,0.000000,2.0400,0.000610,94.76,0.0000,1.0000,0.0000,1.000,0.0000
,LAUNDRY_FLR_1,VAV WITH REHEAT,0.000000,8.4000,0.000000,78.04,0.0000,1.0000,0.0000,1.000,0.0000
,CAFE_FLR_1,VAV WITH REHEAT,0.003540,142.3000,0.000914,188.86,0.0000,1.0000,0.0000,1.000,0.0000
,LOBBY_FLR_1,VAV WITH REHEAT,0.000000,422.4350,0.001448,1308.19,0.0000,1.0000,0.0000,1.000,0.0000
,ROOM_1_FLR_3,FLR_3_DOAS,0.000000,6.0000,0.000396,156.09,0.0000,1.0000,0.0000,1.000,0.0000
,ROOM_2_FLR_3,FLR_3_DOAS,0.000000,6.0000,0.000396,156.07,0.0000,1.0000,0.0000,1.000,0.0000
,ROOM_3_MULT19_FLR_3,FLR_3_DOAS,0.000000,114.0000,0.000449,1863.81,0.0000,1.0000,0.0000,1.000,0.0000
,ROOM_4_MULT19_FLR_3,FLR_3_DOAS,0.000000,114.0000,0.000449,1864.32,0.0000,1.0000,0.0000,1.000,0.0000
,ROOM_5_FLR_3,FLR_3_DOAS,0.000000,6.0000,0.000396,156.09,0.0000,1.0000,0.0000,1.000,0.0000
,ROOM_6_FLR_3,FLR_3_DOAS,0.000000,6.0000,0.000396,156.07,0.0000,1.0000,0.0000,1.000,0.0000
,CORRIDOR_FLR_3,VAV WITH REHEAT,0.000000,83.8280,0.000305,1557.62,0.0000,1.0000,0.0000,1.000,0.0000
,ROOM_1_FLR_6,FLR_3_DOAS,0.000000,1.5000,0.000396,39.02,0.0000,1.0000,0.0000,1.000,0.0000
,ROOM_2_FLR_6,FLR_3_DOAS,0.000000,1.5000,0.000396,39.02,0.0000,1.0000,0.0000,1.000,0.0000
,ROOM_3_MULT9_FLR_6,FLR_3_DOAS,0.000000,13.5000,0.000449,220.77,0.0000,1.0000,0.0000,1.000,0.0000
,BANQUET_FLR_6,VAV WITH REHEAT,0.000000,249.8960,0.003581,331.66,0.0000,1.0000,0.0000,1.000,0.0000
,DINING_FLR_6,VAV WITH REHEAT,0.000000,249.8960,0.003581,331.66,0.0000,1.0000,0.0000,1.000,0.0000
,KITCHEN_FLR_6,VAV WITH REHEAT,0.000000,22.2380,0.003556,103.30,0.0000,1.0000,0.0000,1.000,0.0000
,CORRIDOR_FLR_6,VAV WITH REHEAT,0.000000,22.1800,0.000305,412.12,0.0000,1.0000,0.0000,1.000,0.0000


System Ventilation Parameters

,,People Outdoor Air Rate - Rp [m3/s-person],Sum of Zone Population - Pz-sum,Area Outdoor Air Rate - Ra [m3/s-m2],Sum of Zone Floor Area - Az-sum [m2],Breathing Zone Outdoor Airflow - Vbz [m3/s],Cooling Zone Outdoor Airflow - Voz-clg [m3/s],Heating Zone Outdoor Airflow - Voz-htg [m3/s]
,VAV WITH REHEAT,,0.00,0.000963,6694.0231,0.0000,0.0000,0.0000
,FLR_3_DOAS,,0.00,0.000441,4651.2638,0.0000,0.0000,0.0000


Zone Ventilation Calculations for Cooling Design

,,AirLoop Name,Box Type,Zone Primary Airflow - Vpz [m3/s],Zone Discharge Airflow - Vdz [m3/s],Minimum Zone Primary Airflow - Vpz-min [m3/s],Is Vpz-min calculated using the Standard 62.1 Simplified Procedure?,Zone Outdoor Airflow Cooling - Voz-clg [m3/s],Primary Outdoor Air Fraction - Zpz,Primary Air Fraction - Ep,Secondary Recirculation Fraction- Er,Supply Air Fraction- Fa,Mixed Air Fraction - Fb,Outdoor Air Fraction - Fc,Zone Ventilation Efficiency - Evz
